@RELATION devices
@ATTRIBUTE sensor_id REAL
@ATTRIBUTE data REAL
@ATTRIBUTE microstamp REAL
@ATTRIBUTE device_microstamp REAL
@ATTRIBUTE class {microwave, tv}
@DATA
54,-423,1414371648296810,1414371648296810,microwave
54,-317,1414371648297227,1414371648297227,microwave
54,-201,1414371648297644,1414371648297644,microwave
54,-86,1414371648298061,1414371648298061,microwave
54,-126,1414371648298478,1414371648298478,microwave
54,-153,1414371648298894,1414371648298894,microwave
54,-121,1414371648299311,1414371648299311,microwave
54,-49,1414371648299728,1414371648299728,microwave
54,49,1414371648300144,1414371648300144,microwave
54,146,1414371648300561,1414371648300561,microwave
54,255,1414371648300978,1414371648300978,microwave
54,352,1414371648301395,1414371648301395,microwave
54,463,1414371648301812,1414371648301812,microwave
54,576,1414371648302228,1414371648302228,microwave
54,674,1414371648302645,1414371648302645,microwave
54,749,1414371648303062,1414371648303062,microwave
54,772,1414371648303478,1414371648303478,microwave
54,746,1414371648303895,1414371648303895,microwave
54,687,1414371648304312,1414371648304312,microwave
54,599,1414371648304729,1414371648304729,microwave
54,506,1414371648305146,1414371648305146,microwave
54,415,1414371648305562,1414371648305562,microwave
54,316,1414371648305979,1414371648305979,microwave
54,199,1414371648306396,1414371648306396,microwave
54,105,1414371648306812,1414371648306812,microwave
54,151,1414371648307229,1414371648307229,microwave
54,188,1414371648307646,1414371648307646,microwave
54,159,1414371648308063,1414371648308063,microwave
54,76,1414371648308480,1414371648308480,microwave
54,-17,1414371648308896,1414371648308896,microwave
54,-120,1414371648309313,1414371648309313,microwave
54,-224,1414371648309730,1414371648309730,microwave
54,-320,1414371648310146,1414371648310146,microwave
54,-435,1414371648310563,1414371648310563,microwave
54,-555,1414371648310980,1414371648310980,microwave
54,-686,1414371648311397,1414371648311397,microwave
54,-776,1414371648311814,1414371648311814,microwave
54,-822,1414371648312230,1414371648312230,microwave
54,-804,1414371648312647,1414371648312647,microwave
54,-742,1414371648313064,1414371648313064,microwave
54,-644,1414371648313480,1414371648313480,microwave
54,-529,1414371648313897,1414371648313897,microwave
54,-416,1414371648314314,1414371648314314,microwave
54,-305,1414371648314731,1414371648314731,microwave
54,-184,1414371648315148,1414371648315148,microwave
54,-95,1414371648315564,1414371648315564,microwave
54,-132,1414371648315981,1414371648315981,microwave
54,-149,1414371648316398,1414371648316398,microwave
54,-113,1414371648316814,1414371648316814,microwave
54,-33,1414371648317231,1414371648317231,microwave
54,75,1414371648317648,1414371648317648,microwave
54,175,1414371648318065,1414371648318065,microwave
54,279,1414371648318482,1414371648318482,microwave
54,376,1414371648318898,1414371648318898,microwave
54,487,1414371648319315,1414371648319315,microwave
54,607,1414371648319732,1414371648319732,microwave
54,702,1414371648320148,1414371648320148,microwave
54,760,1414371648320565,1414371648320565,microwave
54,767,1414371648320982,1414371648320982,microwave
54,732,1414371648321399,1414371648321399,microwave
54,658,1414371648321816,1414371648321816,microwave
54,562,1414371648322232,1414371648322232,microwave
54,471,1414371648322649,1414371648322649,microwave
54,369,1414371648323066,1414371648323066,microwave
54,270,1414371648323482,1414371648323482,microwave
54,144,1414371648323899,1414371648323899,microwave
56,39.3,1414371735226667,1414371735226667,microwave
55,1.65,1414371736393673,1414371736393673,microwave
56,39.4,1414371740251969,1414371740251969,microwave
55,1.485,1414371741477226,1414371741477226,microwave
56,39.7,1414371745270527,1414371745270527,microwave
55,2.31,1414371746491424,1414371746491424,microwave
56,39.5,1414371750225937,1414371750225937,microwave
56,39.5,1414371750805679,1414371750805679,microwave
56,39.5,1414371751229550,1414371751229550,microwave
56,39.5,1414371751721872,1414371751721872,microwave
55,1.815,1414371751750316,1414371751750316,microwave
56,39.5,1414371752219409,1414371752219409,microwave
55,1.815,1414371752239849,1414371752239849,microwave
56,39.5,1414371752707555,1414371752707555,microwave
55,1.815,1414371752736923,1414371752736923,microwave
55,1.815,1414370147281377,1414370147281377,tv
56,44.1,1414370147771007,1414370147771007,tv
54,4,1414370151716058,1414370151716058,tv
54,2,1414370151716475,1414370151716475,tv
54,1,1414370151716892,1414370151716892,tv
54,6,1414370151717308,1414370151717308,tv
54,2,1414370151717725,1414370151717725,tv
54,7,1414370151718142,1414370151718142,tv
54,0,1414370151718558,1414370151718558,tv
54,5,1414370151718975,1414370151718975,tv
54,1,1414370151719392,1414370151719392,tv
54,-3,1414370151719809,1414370151719809,tv
54,-5,1414370151720226,1414370151720226,tv
54,-2,1414370151720642,1414370151720642,tv
54,4,1414370151721059,1414370151721059,tv
54,4,1414370151721476,1414370151721476,tv
54,5,1414370151721892,1414370151721892,tv
54,0,1414370151722309,1414370151722309,tv
54,6,1414370151722726,1414370151722726,tv
54,-3,1414370151723143,1414370151723143,tv
54,1,1414370151723560,1414370151723560,tv
54,0,1414370151723976,1414370151723976,tv
54,-2,1414370151724393,1414370151724393,tv
54,-1,1414370151724810,1414370151724810,tv
54,5,1414370151725226,1414370151725226,tv
54,6,1414370151725643,1414370151725643,tv
54,1,1414370151726060,1414370151726060,tv
54,6,1414370151726477,1414370151726477,tv
54,2,1414370151726894,1414370151726894,tv
54,1,1414370151727310,1414370151727310,tv
54,5,1414370151727727,1414370151727727,tv
54,4,1414370151728144,1414370151728144,tv
54,-1,1414370151728560,1414370151728560,tv
54,0,1414370151728977,1414370151728977,tv
54,1,1414370151729394,1414370151729394,tv
54,6,1414370151729811,1414370151729811,tv
54,2,1414370151730228,1414370151730228,tv
54,2,1414370151730644,1414370151730644,tv
54,0,1414370151731061,1414370151731061,tv
54,-3,1414370151731478,1414370151731478,tv
54,1,1414370151731894,1414370151731894,tv
54,7,1414370151732311,1414370151732311,tv
54,5,1414370151732728,1414370151732728,tv
54,-2,1414370151733145,1414370151733145,tv
54,4,1414370151733562,1414370151733562,tv
54,2,1414370151733978,1414370151733978,tv
54,1,1414370151734395,1414370151734395,tv
54,-3,1414370151734812,1414370151734812,tv
